State/Region Pcode,State/Region Name,District Pcode,District Name,Township Pcode,Township Name,Total population Both sexes,Urban population Both sexes,Rural population Both sexes,Urban population (%),% rural,0 - 14,% 0 - 14,10 - 17,5 -  29 years school/college attendanceCurrently attending,% currently attending school/college,Total,Employee (government),Employee (private),Employer,Own account worker,Household worker,% 10yr and older in paid employment,Conventional households,Institutions,% in institutions,Mean household size,percentile mean household,Total,Apartment/ Condominium,Bungalow/ Brick house,Semi0pacca house,% HQ housing,Wooden house,Bamboo,Hut 2 - 3 years,Hut 1 year,Other,% LQ housing,Safe sanitation (%),% households with access to safe sanitation,Total,Dhani/Theke/ In leaf,Bamboo,Wood,Corrugated sheet,Tile/Brick/ Concrete,Other,Total,Dhani/Theke/ In leaf,Bamboo,Earth,Wood,Corrugated sheet,Tile/Brick/ Concrete,Other,Total,Bamboo,Earth,Wood,Tile/Brick/ Concrete,Other,Total,Electricity,Kerosene,Candle,Battery,Generator (private),Water mill (private),Solar system/energy,Other,% households w/ electricity as source,% households w/ solar systems as source,% households w/ relatively efficient sources of lighting,% households w/ relatively poor sources of lighting,Total,Electricity,LPG,Kerosene,BioGas,Firewood,Charcoal,Coal,Straw/Grass,Other,% cooking fuel electricity,% cooking fuel that costs natural resources,% cooking fuel that is fuel-based and requires transport,Conventional households,Radio,Television,Land line phone,Mobile phone,Computer,Internet at home,% availability to TV,% availibility to mobile phone,% availiability to radio,% availiability to computer,% availiability to Internet,Conventional households,Car/Truck/ Van,Motorcycle/ Moped,Bicycle,40Wheel tractor,Canoe/Boat,Motor boat,Cart (bullock),% availiability to car/truck/van,% availability to 40wheel tractor,% availibility to motor boat
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,"94,784","20,722","74,062",21.9,0.78,"30,831",0.33,"17,087","19,288",0.20,"74,947",1948,"9,448",1669,"19,200","10,251",0.57,"84,607","10,177",0.11,5.1,0.73,"  16,621 ",  216 ,  701 ,  631 ,0.09,"  9,269 ","  5,279 ",  323 ,  76 ,  126 ,0.91,79.2,0.79,"16,621","7,438",21,10,"9,110",21,21,"16,621",56,"8,526",9,"6,808",12,"1,173",37,"  16,621 ",  793 ,  161 ,"  14,235 ","  1,354 ",  78 ,"16,621","3,571",60,"6,678",761,1020,19,"4,366",146,0.2148486854,0.2626797425,0.108296733,0.4141748391,"16,621",583,0,0,5,"14,646","1,289",83,0,15,0.03507610854,0.9637205944,0.0003008242585,"16,621","5,902","9,823",787,"3,995",250,442,0.59,0.24,0.36,0.02,0.03,"16,621",457,"12,040","5,641",685,"3,511","1,520","7,429",0.03,0.04,0.72
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,"62,914","20,997","41,917",33.4,0.67,"20,161",0.32,"10,906","13,520",0.21,"50,022",2260,4241,2603,"11,261","5,848",0.52,"58,651","4,263",0.07,4.7,0.68,"  12,370 ",  730 ,"  1,065 ",  869 ,0.22,"  3,142 ","  6,075 ",  180 ,  46 ,  263 ,0.78,86.4,0.86,"12,370","2,751",26,7,"9,229",333,24,"12,370",41,"7,864",29,"2,016",17,"2,366",37,"  12,370 ","  3,116 ","  2,424 ","  3,867 ","  2,872 ",  91 ,"12,370","3,474",38,"4,368",171,339,457,"3,498",25,0.2808407437,0.2827809216,0.07817299919,0.3582053355,"12,370",843,12,1,42,"11,050",390,7,1,24,0.06814874697,0.9254648343,0.004446240905,"12,370","3,710","7,388",810,"3,103",253,93,0.60,0.25,0.30,0.02,0.01,"12,370",508,"8,647","3,320","2,673",559,125,"3,071",0.04,0.22,0.70
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,"52,945","8,146","44,799",15.4,0.85,"17,068",0.32,"8,997","10,927",0.21,"41,868",1081,2480,708,"17,011","4,496",0.62,"51,198","1,747",0.03,4.9,0.70,"  10,554 ",  237 ,  583 ,  641 ,0.14,"  4,002 ","  4,315 ",  87 ,  657 ,  32 ,0.86,90.9,0.91,"10,554","2,394",25,7,"8,062",19,47,"10,554",59,"5,741",29,"2,926",39,"1,195",565,"  10,554 ","  2,979 ",  636 ,"  4,507 ","  1,724 ",  708 ,"10,554","2,645",80,"4,266",269,413,857,"2,020",4,0.2506158802,0.1913966269,0.1458214895,0.4121660034,"10,554",484,1,7,6,"9,495",537,20,0,4,0.0458593898,0.9524350957,0.001326511275,"10,554","4,004","6,809",714,"2,997",133,43,0.65,0.28,0.38,0.01,0.00,"10,554",644,"8,661","2,828","2,004",68,29,"2,580",0.06,0.19,0.82
MMR001,Kachin,MMR001D004,Puta0O,MMR001014,Puta0O,"61,075","15,978","45,097",26.2,0.74,"23,497",0.38,"11,214","16,535",0.27,"45,178",1908,"4,694",174,"8,493","9,024",0.54,"58,643","2,432",0.04,5.5,0.78,"  10,743 ",  211 ,  97 ,  87 ,0.04,"  4,457 ","  5,794 ",  83 ,  12 ,  2 ,0.96,84.5,0.85,"10,743","7,844",26,11,"2,860",1,1,"10,743",29,"7,012",10,"3,333",21,335,3,"  10,743 ","  5,972 ",  34 ,"  4,388 ",  300 ,  49 ,"10,743",982,20,"4,464","1,933",133,617,"2,504",90,0.09140835893,0.2330820069,0.2497440194,0.4257656148,"10,743",40,2,0,4,"10,663",28,4,0,2,0.003723354743,0.9955319743,0.0005585032114,"10,743","2,623","2,767",123,"1,151",196,44,0.26,0.11,0.24,0.02,0.00,"10,743",70,"4,135","1,313",41,69,22,"5,123",0.01,0.00,0.38
MMR001,Kachin,MMR001D004,Puta0O,MMR001015,Sumprabum,"2,546","1,137","1,409",44.7,0.55,950,0.37,453,715,0.28,1902,157,124,14,665,279,0.65,"2,405",141,0.06,5.0,0.72,  479 ,  6 ,  1 ,  2 ,0.02,  61 ,  407 ,  -   ,  1 ,  1 ,0.98,50.9,0.51,479,373,0,0,106,0,0,479,2,423,0,43,2,9,0,  479 ,  374 ,  9 ,  84 ,  9 ,  3 ,479,120,1,262,29,0,3,57,7,0.2505219207,0.1189979123,0.06680584551,0.5636743215,479,2,0,0,1,475,1,0,0,0,0.004175365344,0.993736952,0.002087682672,479,333,166,14,45,9,0,0.35,0.09,0.70,0.02,0.00,479,3,215,43,15,1,1,233,0.01,0.03,0.45
MMR001,Kachin,MMR001D004,Puta0O,MMR001016,Machanbaw,"8,858","2,315","6,543",26.1,0.74,"3,479",0.39,"1,457","2,304",0.26,"6,431",561,303,39,1887,824,0.56,"8,353",505,0.06,4.9,0.70,"  1,719 ",  53 ,  6 ,  4 ,0.04,  575 ,"  1,079 ",  1 ,  -   ,  1 ,0.96,78.7,0.79,"1,719","1,494",2,0,221,0,2,"1,719",5,"1,330",0,318,3,61,2,"  1,719 ","  1,090 ",  1 ,  557 ,  64 ,  7 ,"1,719",298,1,659,328,1,94,320,18,0.1733566027,0.1861547411,0.2460732984,0.3944153578,"1,719",13,0,0,4,"1,698",3,0,1,0,0.007562536358,0.9901105294,0.002326934264,"1,719",517,403,16,106,22,3,0.23,0.06,0.30,0.01,0.00,"1,719",7,505,107,6,31,13,"1,005",0.00,0.00,0.29
MMR001,Kachin,MMR001D004,Puta0O,MMR001018,Khaunglanhpu,"11,655",450,"11,205",3.9,0.96,"3,793",0.33,"2,529","4,011",0.34,"9,494",124,60,77,1983,"2,087",0.46,"11,635",20,0.00,6.8,0.98,"  1,711 ",  -   ,  -   ,  1 ,0.00,  284 ,"  1,424 ",  2 ,  -   ,  -   ,1.00,5.4,0.05,"1,711","1,320",313,1,76,1,0,"1,711",1,"1,519",2,185,4,0,0,"  1,711 ","  1,461 ",  4 ,  242 ,  -   ,  4 ,"1,711",146,0,"1,289",39,1,69,2,165,0.08533021625,0.001168907072,0.06370543542,0.8497954413,"1,711",7,0,0,4,"1,670",3,0,0,27,0.004091174752,0.9777907656,0.002337814144,"1,711","1,003",202,10,12,9,9,0.12,0.01,0.59,0.01,0.01,"1,711",12,12,15,11,11,11,444,0.01,0.01,0.01
MMR001,Kachin,MMR001D004,Puta0O,MMR001017,Nawngmun,"7,123","2,236","4,887",31.4,0.69,"2,820",0.40,"1,289","2,067",0.29,"5,145",396,221,5,991,747,0.46,"7,025",98,0.01,5.8,0.83,"  1,212 ",  -   ,  -   ,  1 ,0.00,  302 ,  909 ,  -   ,  -   ,  -   ,1.00,47.9,0.48,1212,1053,10,54,95,0,0,1212,1,942,0,267,1,1,0,"  1,212 ",  885 ,  3 ,  322 ,  1 ,  1 ,1212,179,1,677,80,4,98,161,12,0.147689769,0.1328382838,0.1501650165,0.5693069307,1212,5,0,0,3,1202,2,0,0,0,0.004125412541,0.9933993399,0.002475247525,1212,378,137,5,52,14,2,0.11,0.04,0.31,0.01,0.00,1212,3,222,6,1,10,0,671,0.00,0.00,0.18
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,"128,401","51,349","77,052",40.0,0.60,"40,582",0.32,"21,700","27,061",0.21,"101,862","7,168","13,297",1917,"25,478","14,386",0.61,"122,223","6,178",0.05,4.6,0.66,"  26,495 ","  1,519 ","  4,750 ","  2,691 ",0.34,"  11,232 ","  6,130 ",  64 ,  49 ,  60 ,0.66,95.1,0.95,"26,495","3,983",22,28,"22,246",183,33,"26,495",110,"6,801",28,"11,637",56,"7,775",88,"  26,495 ","  1,341 ",  162 ,"  17,458 ","  7,383 ",  151 ,"26,495","17,924",234,"3,856",569,70,450,"3,199",193,0.6765050009,0.1207397622,0.04110209473,0.1616531421,"26,495","10,377",12,2,27,"15,063",960,27,1,26,0.3916588035,0.6058124174,0.001547461785,"  26,495 ","  8,272 ","  18,183 ","  1,478 ","  12,646 ","  1,498 ","  2,158 ",0.69,0.48,0.31,0.06,0.08,"26,495","1,375","18,056","11,166","2,458",141,35,"3,323",0.05,0.09,0.68
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,"79,201","5,621","73,580",7.1,0.93,"30,530",0.39,"14,594","19,535",0.25,"58,441",1883,"4,062",616,"16,684","7,778",0.53,"78,068","1,133",0.01,5.1,0.73,"  15,347 ",  233 ,"  2,057 ","  1,861 ",0.27,"  8,009 ","  3,124 ",  40 ,  7 ,  16 ,0.73,92.1,0.92,"15,347","1,506",13,12,"13,769",13,34,"15,347",34,"3,620",16,"8,582",31,"3,025",39,"  15,347 ","  1,656 ",  43 ,"  11,104 ","  2,446 ",  98 ,"15,347","5,977","1,370","2,940",598,107,6,"4,161",188,0.3894572229,0.2711279077,0.04632827263,0.2930865967,"15,347","1,128",4,14,5,"14,117",64,13,0,2,0.07349970678,0.9248713104,0.001498664234,"  15,347 ","  4,284 ","  7,335 ",  448 ,"  2,873 ",  220 ,  207 ,0.48,0.19,0.28,0.01,0.01,"15,347",311,"10,148","5,594","2,076",88,25,"3,611",0.02,0.14,0.66
