State/Region Pcode,State/Region Name,District Pcode,District Name,Township Pcode,Township Name,Total population Both sexes,Urban population Both sexes,Rural population Both sexes,Urban population (%),% rural,0 - 14,% 0 - 14,10 - 17,5 -  29 years school/college attendanceCurrently attending,% currently attending school/college,Total,Employee (government),Employee (private),Employer,Own account worker,Household worker,% 10yr and older in paid employment,Conventional households,Institutions,% in institutions,Mean household size,percentile mean household,Total,Apartment/ Condominium,Bungalow/ Brick house,Semi0pacca house,% HQ housing,Wooden house,Bamboo,Hut 2 - 3 years,Hut 1 year,Other,% LQ housing,Safe sanitation (%),% households with access to safe sanitation,Total,Dhani/Theke/ In leaf,Bamboo,Wood,Corrugated sheet,Tile/Brick/ Concrete,Other,Total,Dhani/Theke/ In leaf,Bamboo,Earth,Wood,Corrugated sheet,Tile/Brick/ Concrete,Other,Total,Bamboo,Earth,Wood,Tile/Brick/ Concrete,Other,Total,Electricity,Kerosene,Candle,Battery,Generator (private),Water mill (private),Solar system/energy,Other,% households w/ electricity as source,% households w/ solar systems as source,% households w/ relatively efficient sources of lighting,% households w/ relatively poor sources of lighting,Total,Electricity,LPG,Kerosene,BioGas,Firewood,Charcoal,Coal,Straw/Grass,Other,% cooking fuel electricity,% cooking fuel that costs natural resources,% cooking fuel that is fuel-based and requires transport,Conventional households,Radio,Television,Land line phone,Mobile phone,Computer,Internet at home,% availability to TV,% availibility to mobile phone,% availiability to radio,% availiability to computer,% availiability to Internet,Conventional households,Car/Truck/ Van,Motorcycle/ Moped,Bicycle,40Wheel tractor,Canoe/Boat,Motor boat,Cart (bullock),% availiability to car/truck/van,% availability to 40wheel tractor,% availibility to motor boat
MMR005,Sagaing,MMR005D004,Katha,MMR005024,Kawlin,"145,297","21,431","123,866",14.7,0.85,"38,670",0.27,"22,106","23,673",0.16,"120,575","2,512","16,238",3782,"31,912","18,309",0.60,"140,228","5,069",0.03,4.5,0.64,"31,403",73,"1,218","1,299",0.08,"16,295","11,920",381,179,38,0.92,78.5,0.79,"31,403","10,281",213,21,"20,670",190,28,"31,403",184,"17,211",32,"11,658",23,"2,244",51,"31,403",880,189,"28,687","1,511",136,"31,403","14,807",520,"4,568","2,328","5,089",44,"3,668",379,0.4715154603,0.116804127,0.2375887654,0.1740916473,"31,403","3,318",4,8,9,"23,549","4,372",128,0,15,0.105658695,0.8931949177,0.0006687259179,"31,403","8,979","18,027","2,120","6,229",562,835,0.57,0.20,0.29,0.02,0.03,"31,403",672,"22,014","13,392",849,485,197,"15,063",0.02,0.03,0.70
MMR005,Sagaing,MMR005D004,Katha,MMR005025,Wuntho,"73,395","11,972","61,423",16.3,0.84,"22,122",0.30,"11,713","12,866",0.18,"58,779",1722,"5,763",1346,"15,850","10,532",0.60,"69,442","3,953",0.05,4.9,0.70,"14,205",203,523,792,0.11,"8,533","3,908",210,32,4,0.89,84.0,0.84,"14,205","4,486",14,7,"9,658",15,25,"14,205",57,"7,358",5,"5,521",13,"1,221",30,"14,205",382,49,"12,914",815,45,"14,205","5,347",492,"2,796",704,"1,891",995,"1,924",56,0.3764167547,0.1354452658,0.2527279127,0.2354100669,"14,205",649,0,14,7,"12,120","1,377",29,1,8,0.04568813798,0.9522703273,0.001478352693,"14,205","3,538","8,855",630,"3,344",167,673,0.62,0.24,0.25,0.01,0.05,"14,205",153,"9,774","5,950",268,5,5,"6,869",0.01,0.02,0.69
MMR005,Sagaing,MMR005D004,Katha,MMR005026,Pinlebu,"111,968","6,963","105,005",6.2,0.94,"36,185",0.32,"18,638","20,159",0.18,"87,808",1767,2785,370,"21,782","15,154",0.48,"109,289","2,679",0.02,5.0,0.72,"21,900",7,569,702,0.06,"15,914","4,542",104,45,17,0.94,5.4,0.05,"21,900","8,116",17,11,"13,716",18,22,"21,900",102,"14,896",13,"5,770",16,"1,076",27,"21,900",979,50,"20,054",752,65,"21,900","2,017","1,837","5,274","1,888","4,266",462,"6,008",148,0.09210045662,0.2743378995,0.3021004566,0.3314611872,"21,900",433,1,52,3,"20,960",408,38,1,4,0.0197716895,0.9774885845,0.002557077626,"21,900","6,323","10,360",395,"1,480",156,43,0.47,0.07,0.29,0.01,0.00,"21,900",255,"11,675","4,420",381,13,65,"13,963",0.01,0.02,0.53
MMR005,Sagaing,MMR005D005,Kale,MMR005027,Kale,"348,573","130,506","218,067",37.4,0.63,"107,473",0.31,"58,210","72,088",0.21,"279,101","8,541","41,866","5,372","56,714","52,988",0.59,"339,302","9,271",0.03,4.7,0.67,"72,769","1,427","4,301","5,514",0.15,"36,014","24,503",580,332,98,0.85,81.1,0.81,"72,769","11,835","2,433","1,081","57,099",137,184,"72,769",690,"42,720",71,"18,628",130,"10,360",170,"72,769","3,409",531,"61,200","7,250",379,"72,769","4,311",672,"7,481","11,003","32,710","2,303","11,691","2,598",0.05924225975,0.1606590719,0.6323571851,0.1477414833,"72,769",247,69,16,176,"57,198","13,573",406,8,"1,076",0.003394302519,0.9782324891,0.003586692135,"72,769","21,717","36,478","2,985","26,902","2,124","3,232",0.50,0.37,0.30,0.03,0.04,"72,769","1,564","42,656","43,172","1,018",885,176,"20,221",0.02,0.01,0.59
MMR005,Sagaing,MMR005D005,Kale,MMR005028,Kalewa,"56,432","8,819","47,613",15.6,0.84,"16,475",0.29,"8,983","10,489",0.19,"45,778",1055,"5,823",865,"14,948","3,175",0.57,"54,744","1,688",0.03,4.7,0.67,"11,735",4,208,506,0.06,"9,076","1,761",83,57,40,0.94,86.0,0.86,"11,735","3,128",234,3,"8,340",15,15,"11,735",60,"5,874",8,"5,075",12,660,46,"11,735",475,50,"10,546",609,55,"11,735","1,973",354,"1,353","2,469","4,323",120,799,344,0.1681295271,0.06808691947,0.5890072433,0.1747763102,"11,735",39,1,6,4,"8,576","3,063",36,0,10,0.003323391564,0.9948870899,0.0009373668513,"11,735","5,405","4,581",495,"1,865",114,145,0.39,0.16,0.46,0.01,0.01,"11,735",151,"4,380","1,929",68,"1,854",577,"5,314",0.01,0.01,0.37
MMR005,Sagaing,MMR005D005,Kale,MMR005029,Mingin,"104,363","3,467","100,896",3.3,0.97,"31,665",0.30,"16,552","21,190",0.20,"83,577",1524,"6,353",920,"23,631","14,499",0.56,"102,299","2,064",0.02,4.6,0.67,"22,058",18,207,791,0.05,"15,948","4,473",342,156,123,0.95,72.5,0.73,"22,058","9,764",241,14,"11,938",11,90,"22,058",482,"11,761",22,"8,814",17,754,208,"22,058",699,120,"20,597",491,151,"22,058",953,80,"3,253","9,635","5,231",40,"1,610","1,256",0.04320427963,0.0729893916,0.6757638952,0.2080424336,"22,058",21,1,17,11,"20,349","1,582",54,0,23,0.0009520355427,0.9966905431,0.001314715749,"22,058","12,165","6,123",558,354,123,16,0.28,0.02,0.55,0.01,0.00,"22,058",62,"7,434","3,646",102,"1,991",925,"14,977",0.00,0.00,0.34
MMR005,Sagaing,MMR005D006,Tamu,MMR005030,Tamu,"114,869","59,938","54,931",52.2,0.48,"40,558",0.35,"19,893","26,277",0.23,"87,399",1977,"12,052",2068,"19,418","18,003",0.61,"111,986","2,883",0.03,5.0,0.71,"22,591",131,640,1098,0.08,"9,134","11,350",130,64,44,0.92,94.5,0.95,"22,591","9,460",61,58,"12,923",52,37,"22,591",82,"12,681",29,"8,041",12,"1,679",67,"22,591",402,250,"20,190","1,652",97,"22,591","3,551",614,"2,587","3,570","6,047",1799,"4,202",221,0.1571864902,0.1860032756,0.5053339826,0.1514762516,"22,591",63,27,6,83,"15,674","6,562",86,0,90,0.002788721172,0.9880926032,0.00513478819,"22,591","6,514","10,938",1091,"7,259",553,798,0.48,0.32,0.29,0.02,0.04,"22,591",443,"12,613","10,155",274,276,42,"6,818",0.02,0.01,0.56
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005031,Mawlaik,"51,314","8,556","42,758",16.7,0.83,"16,390",0.32,"8,616","10,187",0.20,"40,741",1758,"4,458",927,"11,113","4,426",0.56,"49,782","1,532",0.03,4.8,0.69,"10,345",230,235,349,0.08,"7,663","1,542",186,129,11,0.92,90.3,0.90,"10,345","3,394",49,6,"6,807",27,62,"10,345",49,"5,306",8,"4,234",16,691,41,"10,345",351,30,"9,299",601,64,"10,345","1,258",82,"1,547","3,734","1,678",28,"1,651",367,0.1216046399,0.1595940068,0.5258579024,0.1929434509,"10,345",9,2,1,4,"9,275","1,020",26,0,8,0.0008699855002,0.9976800387,0.0006766553891,"10,345","5,211","4,779",199,"1,840",134,306,0.46,0.18,0.50,0.01,0.03,"10,345",66,"3,960","2,365",82,"1,642",819,"5,671",0.01,0.01,0.38
MMR005,Sagaing,MMR005D007,Mawlaik,MMR005032,Paungbyin,"112,694","10,049","102,645",8.9,0.91,"40,908",0.36,"20,267","24,832",0.22,"85,425",1938,"7,631",2697,"26,137","7,654",0.54,"110,354","2,340",0.02,5.5,0.78,"20,246",154,367,918,0.07,"15,785","2,711",143,148,20,0.93,76.6,0.77,"20,246","7,865",96,19,"12,200",9,57,"20,246",110,"7,893",21,"10,834",27,"1,300",61,"20,246",790,70,"18,129","1,162",95,"20,246","1,757",381,"4,072","7,002","3,828",43,"2,323",840,0.08678257434,0.1147387138,0.5370443544,0.2614343574,"20,246",59,0,17,8,"19,259",878,14,1,10,0.002914155883,0.9953571076,0.001234811815,"20,246","9,267","6,099",398,371,164,53,0.30,0.02,0.46,0.01,0.00,"20,246",136,"8,546","5,049","1,181","2,944",852,"12,764",0.01,0.06,0.42
MMR005,Sagaing,MMR005D008,Hkamti,MMR005033,Hkamti,"47,658","11,551","36,107",24.2,0.76,"14,071",0.30,"7,672","8,847",0.19,"38,216",1710,"7,902",855,"9,813","4,383",0.65,"37,049","10,609",0.22,5.0,0.72,"7,361",187,121,330,0.09,"3,330","2,793",197,250,153,0.91,71.3,0.71,"7,361","3,327",28,7,"2,629",1,"1,369","7,361",100,"4,415",7,"1,960",12,537,330,"7,361","2,105",366,"4,270",538,82,"7,361","1,603",22,"2,810",400,979,72,"1,202",273,0.2177693248,0.1632930308,0.1971199565,0.4218176878,"7,361",23,2,2,2,"6,488",803,22,1,18,0.003124575465,0.993614998,0.0008151066431,"7,361","2,282","3,330",166,"1,418",172,71,0.45,0.19,0.31,0.02,0.01,"7,361",88,"2,450",798,44,784,"1,177",637,0.01,0.01,0.33
MMR005,Sagaing,MMR005D008,Hkamti,MMR005034,Homalin,"258,206","21,220","236,986",8.2,0.92,"89,453",0.35,"44,031","48,879",0.19,"197,387","3,853","37,373","7,715","40,981","30,921",0.61,"198,477","59,729",0.23,5.6,0.80,"35,743",226,448,893,0.04,"26,364","6,647",689,345,131,0.96,75.3,0.75,"35,743","7,973",192,58,"26,422",58,"1,040","35,743",266,"16,797",26,"16,637",59,"1,327",631,"35,743","1,767",211,"32,247","1,301",217,"35,743","3,671",266,"18,029","2,670","6,443",70,"4,025",569,0.1027054248,0.112609462,0.2569174384,0.5277676748,"35,743",158,4,19,16,"32,232","3,242",47,1,24,0.004420445961,0.9938169712,0.001091122737,"35,743","12,251","19,432","1,289","4,005",546,331,0.54,0.11,0.34,0.02,0.01,"35,743",534,"19,382","5,671","1,702","6,290","2,452","15,117",0.01,0.05,0.54
MMR005,Sagaing,MMR005D008,Hkamti,MMR005035,Lay Shi,"10,491","2,692","7,799",25.7,0.74,"4,198",0.40,"1,702","2,523",0.24,"7,424",438,780,18,1676,541,0.47,"9,742",749,0.07,5.0,0.71,"1,966",33,0,7,0.02,969,917,39,0,1,0.98,59.5,0.60,"1,966","1,300",2,1,511,0,152,"1,966",5,"1,351",2,566,3,38,1,"1,966",427,608,770,51,110,"1,966",316,20,887,134,25,1,387,196,0.1607324517,0.1968463886,0.08138351984,0.5610376399,"1,966",2,0,0,0,"1,944",17,0,0,3,0.001017293998,0.997456765,0,"1,966",607,257,11,90,14,2,0.13,0.05,0.31,0.01,0.00,"1,966",10,360,25,5,48,33,209,0.01,0.00,0.18
MMR005,Sagaing,MMR005D008,Hkamti,MMR005036,Lahe,"54,357","5,613","48,744",10.3,0.90,"22,182",0.41,"10,115","8,908",0.16,"38,935",905,756,111,"11,247","2,671",0.40,"53,424",933,0.02,6.0,0.86,"8,932",63,7,23,0.01,1756,"6,966",94,9,14,0.99,24.0,0.24,"8,932","7,604",14,3,1136,0,175,"8,932",19,"7,166",3,1644,4,80,16,"8,932","4,194","3,717",920,87,14,"8,932",346,67,"1,799",521,225,505,"2,210","3,259",0.03873712494,0.2474249888,0.1400582176,0.5737796686,"8,932",22,0,2,2,"8,848",9,1,0,48,0.002463054187,0.9917151814,0.000447828034,"8,932",1215,501,38,787,29,4,0.06,0.09,0.14,0.00,0.00,"8,932",24,814,25,7,1,13,1096,0.00,0.00,0.09
MMR005,Sagaing,MMR005D008,Hkamti,MMR005037,Nanyun,"51,980","6,143","45,837",11.8,0.88,"21,209",0.41,"9,860","11,233",0.22,"37,330",912,672,99,8141,4554,0.39,"49,820","2,160",0.04,6.4,0.91,"7,840",57,3,10,0.01,329,"7,383",56,2,0,0.99,22.3,0.22,"7,840","7,409",95,4,274,0,58,"7,840",13,"7,591",4,167,3,61,1,"7,840","7,414",99,248,68,11,"7,840",328,111,3309,305,53,211,2262,1261,0.04183673469,0.2885204082,0.07257653061,0.5970663265,"7,840",10,0,20,3,"7,791",8,1,0,7,0.001275510204,0.9948979592,0.002933673469,"7,840",1001,342,44,170,29,6,0.04,0.02,0.13,0.00,0.00,"7,840",13,366,21,17,11,57,580,0.00,0.00,0.05
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005016,Yinmabin,"141,480","4,806","136,674",3.4,0.97,"38,594",0.27,"22,074","26,862",0.19,"117,263","2,286","17,429","4,030","30,003","11,935",0.56,"139,808","1,672",0.01,4.7,0.68,"29,532",30,836,"2,181",0.10,"10,990","14,293","1,124",48,30,0.90,71.6,0.72,"29,532","9,841","2,511",24,"16,423",35,698,"29,532",816,"21,617",24,"4,261",29,"2,601",184,"29,532","2,967","13,336","10,666","2,442",121,"29,532","4,131",35,"1,241","13,304","4,508",43,"3,635","2,635",0.1398821617,0.1230868211,0.6045984017,0.1324326155,"29,532","1,998",1,6,11,"26,900",506,15,1,94,0.06765542462,0.9285520791,0.0006095083299,"29,532","18,628","8,793","1,060","4,346",283,572,0.30,0.15,0.63,0.01,0.02,"29,532",333,"16,071","14,455",496,332,118,"13,573",0.01,0.02,0.54
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005018,Salingyi,"121,808","5,553","116,255",4.6,0.95,"30,957",0.25,"17,669","19,495",0.16,"102,450","4,215","19,890",1430,"23,687","16,136",0.64,"116,837","4,971",0.04,4.4,0.63,"26,467",31,523,"1,186",0.07,"8,626","15,068",890,82,61,0.93,72.1,0.72,"26,467","5,208","4,642",38,"13,416",77,"3,086","26,467",409,"19,192",38,"4,899",89,"1,525",315,"26,467","3,439","12,584","7,860","2,355",229,"26,467","12,009",64,"1,041","8,419","1,200",20,"1,752","1,962",0.4537348396,0.06619563985,0.3641893679,0.1158801526,"26,467","4,195",3,16,14,"21,609",532,18,0,80,0.1584992632,0.8372312691,0.001246835682,"26,467","14,374","11,739",552,"5,762",482,"1,004",0.44,0.22,0.54,0.02,0.04,"26,467",406,"15,796","17,794",327,632,295,"7,809",0.02,0.01,0.60
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005019,Pale,"144,006","4,095","139,911",2.8,0.97,"40,549",0.28,"21,701","26,195",0.18,"117,974",1920,"12,490",3844,"27,627","20,159",0.56,"140,339","3,667",0.03,4.3,0.62,"32,362",3,404,"1,102",0.05,"13,057","17,304",389,54,49,0.95,64.1,0.64,"32,362","12,486","3,034",14,"15,124",17,"1,687","32,362",450,"24,347",35,"5,904",29,"1,425",172,"32,362","9,017","9,071","12,903","1,155",216,"32,362","6,194",32,"3,429","12,668","2,574",16,"4,133","3,316",0.1913973178,0.1277115135,0.471478895,0.2094122737,"32,362","1,975",2,8,7,"29,220",615,37,295,203,0.0610283666,0.9321735369,0.0005253074594,"32,362","18,218","9,412","1,166","3,731",229,682,0.29,0.12,0.56,0.01,0.02,"32,362",303,"14,436","11,315",245,82,23,"17,870",0.01,0.01,0.45
MMR005,Sagaing,MMR005D009,Yinmabin,MMR005017,Kani,"134,541","4,887","129,654",3.6,0.96,"39,463",0.29,"22,033","27,741",0.21,"109,750","2,285","10,172",2705,"25,592","16,901",0.53,"131,237","3,304",0.02,4.5,0.64,"29,223",11,"1,746","4,784",0.22,"13,381","7,610","1,378",194,119,0.78,75.3,0.75,"29,223","8,345",831,35,"18,569",44,"1,399","29,223",888,"15,462",28,"7,010",48,"5,254",533,"29,223","1,190","5,992","19,039","2,839",163,"29,223","1,722",83,"3,353","9,990","7,355",50,"3,760","2,910",0.05892618828,0.128665777,0.5952503165,0.2171577182,"29,223",76,2,8,10,"27,905","1,160",45,0,17,0.002600691236,0.9961331828,0.0006843924306,"29,223","19,056","7,202","1,337","2,637",175,231,0.25,0.09,0.65,0.01,0.01,"29,223",268,"14,240","7,995",171,"1,066",452,"16,472",0.01,0.01,0.49
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006001,Dawei,"146,964","83,459","63,505",56.8,0.43,"41,793",0.28,"22,610","25,249",0.17,"119,929","6,618","22,010",2064,"24,714","21,630",0.64,"135,996","10,968",0.07,4.7,0.67,"29,133","1,307","3,277","3,615",0.28,"14,329","5,975",355,69,206,0.72,84.3,0.84,"29,133","13,990",48,20,"14,380",253,442,"29,133","1,088","10,488",50,"10,647",157,"6,308",395,"29,133","4,950",315,"18,292","5,354",222,"29,133","1,271","2,842","3,472",286,"18,910",320,1246,786,0.04362750146,0.04276936807,0.6698932482,0.2437098823,"29,133",654,582,39,381,"13,051","14,017",213,0,196,0.02244876944,0.9364294786,0.0343939862,"29,133","11,440","19,161","2,147","14,190","1,849","3,549",0.66,0.49,0.39,0.06,0.12,"29,133","1,427","17,905","13,176",748,413,464,"1,860",0.05,0.03,0.61
MMR006,Tanintharyi,MMR006D001,Dawei,   MMR006002,   Launglon,"118,317","5,334","112,983",4.5,0.95,"40,395",0.34,"21,142","25,431",0.21,"92,801","2,131","18,686",2257,"19,856","18,345",0.66,"114,977","3,340",0.03,4.5,0.64,"25,735",79,"3,489","3,443",0.27,"13,864","4,151",450,184,75,0.73,66.0,0.66,"25,735","18,829",38,13,"6,760",68,27,"25,735","2,116","5,821",46,"12,615",118,"4,894",125,"25,735","2,186",244,"19,413","3,704",188,"25,735","1,993","3,909","4,984",157,"14,131",256,267,38,0.07744317078,0.01037497571,0.5651447445,0.347037109,"25,735",122,54,30,158,"21,010","4,238",72,0,51,0.004740625607,0.9838741014,0.00940353604,"25,735","10,600","13,818",852,"7,700",476,"1,597",0.54,0.30,0.41,0.02,0.06,"25,735",456,"13,810","9,590","1,448",195,"1,440","1,016",0.02,0.06,0.54
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006003,Thayetchaung,"105,662","11,305","94,357",10.7,0.89,"36,131",0.34,"18,943","23,198",0.22,"82,825","2,301","12,438",864,"16,046","19,460",0.62,"103,182","2,480",0.02,4.5,0.65,"22,874",271,"2,045","2,336",0.20,"12,554","4,236","1,082",295,55,0.80,78.2,0.78,"22,874","17,421",24,6,"5,165",102,156,"22,874","2,375","6,690",24,"9,956",53,"3,365",411,"22,874","2,690",270,"17,194","2,505",215,"22,874",552,"6,450","3,301",214,"11,128",124,"1,072",33,0.0241322025,0.04686543674,0.501267815,0.4277345458,"22,874",65,70,90,111,"19,381","3,031",103,0,23,0.00284165428,0.9843053248,0.01184751246,"22,874","8,496","10,464",827,"4,525",295,663,0.46,0.20,0.37,0.01,0.03,"22,874",322,"11,255","5,715",893,386,822,"1,081",0.01,0.04,0.49
MMR006,Tanintharyi,MMR006D001,Dawei,MMR006004,Yebyu,"122,633","7,858","114,775",6.4,0.94,"41,873",0.34,"21,675","25,266",0.21,"96,050",3863,"15,437",848,"23,658","17,777",0.64,"115,860","6,773",0.06,4.4,0.63,"26,350",958,"1,613","2,452",0.19,"14,810","5,307",755,324,131,0.81,67.7,0.68,"26,350","17,435",20,9,"7,702",40,1144,"26,350","2,565","7,360",29,"11,831",84,"3,884",597,"26,350","4,236",206,"18,483","3,208",217,"26,350",841,"5,597","7,592",209,"10,012",125,"1,538",436,0.03191650854,0.05836812144,0.3926375712,0.5170777989,"26,350",78,32,49,66,"19,116","6,798",166,0,45,0.002960151803,0.9897533207,0.005578747628,"26,350","10,170","11,426",849,"4,526",512,417,0.43,0.17,0.39,0.02,0.02,"26,350",402,"13,185","5,160",628,238,936,"1,975",0.02,0.02,0.50
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006005,Myeik,"284,489","115,141","169,348",40.5,0.60,"89,868",0.32,"48,613","57,867",0.20,"226,673","8,849","54,678",2889,"37,606","47,715",0.67,"273,637","10,852",0.04,5.0,0.72,"54,349","2,100","5,169","4,054",0.21,"25,261","16,158","1,077",287,243,0.79,82.7,0.83,"54,349","39,251",49,20,"14,298",666,65,"54,349","2,469","22,265",74,"19,539",155,"9,699",148,"54,349","2,967",724,"41,019","9,386",253,"54,349","5,721","6,406","10,524",204,"29,918",666,786,124,0.1052641263,0.01446208762,0.5664869639,0.3137868222,"54,349",783,515,96,768,"16,602","35,043",295,1,246,0.01440688881,0.955693757,0.02537305194,"54,349","19,723","31,076","2,349","21,639","2,288","6,343",0.57,0.40,0.36,0.04,0.12,"54,349","1,346","23,374","6,837",704,"1,222","2,224","1,439",0.02,0.01,0.43
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006006,Kyunsu,"171,753","5,548","166,205",3.2,0.97,"65,336",0.38,"31,146","35,347",0.21,"127,207",2402,"27,598",2657,"25,471","24,279",0.65,"168,531","3,222",0.02,5.1,0.73,"32,988",473,252,884,0.05,"16,551","11,117","2,796",341,574,0.95,28.5,0.29,"32,988","30,376",27,8,"2,072",378,127,"32,988","5,612","14,673",24,"11,111",28,"1,099",441,"32,988","2,501",222,"28,528","1,428",309,"32,988","3,710","8,640","10,165",301,"9,435",143,235,359,0.1124651388,0.007123802595,0.2994725355,0.5809385231,"32,988",119,11,190,59,"16,012","16,405",136,0,56,0.003607372378,0.9868133867,0.007881653935,"32,988","11,947","11,552","1,215","3,872",275,472,0.35,0.12,0.36,0.01,0.01,"32,988",56,"4,116","2,077",158,"2,518","8,188",743,0.00,0.00,0.12
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006007,Palaw,"129,992","25,112","104,880",19.3,0.81,"47,789",0.37,"24,234","30,447",0.23,"98,717","2,903","14,488",1347,"18,619","22,130",0.60,"127,925","2,067",0.02,5.0,0.72,"25,653",383,"2,918","1,473",0.19,"10,047","9,868",672,154,138,0.81,55.9,0.56,"25,653","22,926",15,6,"2,246",145,315,"25,653","4,597","9,365",40,"7,049",37,"4,366",199,"25,653","3,729",492,"17,666","3,585",181,"25,653","4,866","6,764","5,268",107,"7,985",83,530,50,0.1896854169,0.02066035162,0.3186761782,0.4709780532,"25,653",122,26,181,184,"17,390","7,381",320,0,49,0.004755779051,0.9780922309,0.01524188204,"25,653","6,886","11,218",1202,"5,807",371,722,0.44,0.23,0.27,0.01,0.03,"25,653",198,"10,061","4,713",775,660,"1,987","1,919",0.01,0.03,0.39
MMR006,Tanintharyi,MMR006D002,Myeik,MMR006008,Tanintharyi,"106,853","5,514","101,339",5.2,0.95,"39,245",0.37,"19,041","23,327",0.22,"80,559",2017,"8,585",835,"21,845","15,174",0.60,"102,805","4,048",0.04,5.2,0.74,"19,929",328,399,"1,114",0.09,"8,655","7,925","1,106",322,80,0.91,68.9,0.69,"19,929","14,163",23,3,"3,444","1,085","1,211","19,929",213,"12,418",19,"5,545",23,"1,404",307,"19,929","4,541",321,"13,251","1,335",481,"19,929","1,214","7,062","5,491",105,"5,087",147,718,105,0.0609162527,0.03602789904,0.2679010487,0.6351547995,"19,929",35,21,147,191,"12,854","6,596",55,0,30,0.001756234633,0.9787244719,0.01801394952,"19,929","5,820","6,473",616,"2,942",236,443,0.32,0.15,0.29,0.01,0.02,"19,929",127,"7,475","2,269",162,"1,257","1,343","1,999",0.01,0.01,0.38
MMR006,Tanintharyi,MMR006D003,Kawthoung,   MMR006009,   Kawthoung,"140,020","68,706","71,314",49.1,0.51,"45,688",0.33,"22,746","23,837",0.17,"109,753","4,558","29,684",1906,"17,507","25,961",0.73,"133,526","6,494",0.05,4.4,0.63,"30,346","3,705","5,706","4,005",0.44,"11,900","3,772",605,177,476,0.56,74.9,0.75,"30,346","6,398",26,25,"18,581","4,795",521,"30,346",1152,"5,685",35,"10,167",363,"12,250",694,"30,346",1974,436,"13,992","13,570",374,"30,346","1,779",829,"6,729",422,"19,613",292,437,245,0.05862387135,0.01440057998,0.6698411652,0.2571343834,"30,346",1040,"1,633",25,849,"5,906","20,245",422,0,226,0.03427140315,0.8756673038,0.08261385356,"30,346","6,463","18,215","1,438","16,523","1,365","1,066",0.60,0.54,0.21,0.04,0.04,"30,346",446,"13,502","3,678",155,990,"2,059",493,0.01,0.01,0.44
MMR006,Tanintharyi,MMR006D003,Kawthoung,MMR006010,Bokpyin,"81,718","10,442","71,276",12.8,0.87,"29,909",0.37,"14,075","15,533",0.19,"61,386",3112,"13,036",781,"11,733","14,204",0.70,"75,844","5,874",0.07,4.8,0.69,"15,742","1,329",228,426,0.13,"8,073","4,027",1068,326,265,0.87,39.2,0.39,"15,742","10,665",6,5,"3,872",500,694,"15,742",1240,"6,090",12,"6,128",50,1860,362,"15,742",2238,109,"11,354",1927,114,"15,742",807,"1,775","4,551",190,"7,605",84,442,288,0.05126413416,0.02807775378,0.5005081946,0.4201499174,"15,742",96,11,22,82,"6,132","9,280",79,1,39,0.006098335663,0.9841189175,0.007305297929,"15,742","3,908","5,692",627,"2,728",206,390,0.36,0.17,0.25,0.01,0.02,"15,742",81,"3,641","1,668",38,1131,"3,050",493,0.01,0.00,0.23
MMR111,Bago,MMR007D001,Bago,MMR007001,Bago,"491,434","254,424","237,010",51.8,0.48,"141,226",0.29,"80,775","84,098",0.17,"402,587","15,502","98,661","9,162","76,574","79,163",0.69,"467,615","23,819",0.05,4.4,0.63,"107,132","3,869","8,863","9,892",0.21,"56,854","24,407","1,731","1,072",444,0.79,83.3,0.83,"107,132","28,567",285,149,"76,430",595,"1,106","107,132","7,379","49,462",59,"28,833",268,"19,900","1,231","107,132","20,157",615,"69,577","15,809",974,"107,132","56,712","2,700","15,746","26,494","3,180",29,"1,729",542,0.5293656424,0.01613896875,0.2772560953,0.1772392936,"107,132","31,077",445,66,438,"57,465","16,201",489,14,937,0.2900813949,0.6923141545,0.008858230967,"107,132","31,032","59,797","5,382","51,250","3,432","9,363",0.56,0.48,0.29,0.03,0.09,"107,132","2,928","40,126","49,570",952,"1,978",536,"11,571",0.03,0.01,0.37
MMR111,Bago,MMR007D001,Bago,MMR007002,Thanatpin,"145,287","15,822","129,465",10.9,0.89,"51,417",0.35,"26,292","29,648",0.20,"112,151",1651,"19,340",4514,"22,180","26,417",0.66,"143,037","2,250",0.02,4.4,0.63,"32,527",53,682,"1,249",0.06,"14,525","14,909",568,471,70,0.94,30,0.30,"32,527","13,017",78,23,"17,815",53,"1,541","32,527","5,248","16,312",25,"8,738",29,"1,495",680,"32,527","14,224",88,"17,162",843,210,"32,527","4,438","8,678","4,262","8,807","4,458",54,"1,693",137,0.1364404956,0.05204906693,0.4094752052,0.4020352323,"32,527","1,976",13,226,36,"26,813",972,32,128,"2,331",0.06074953116,0.8591324131,0.008454514711,"32,527","12,500","13,422","1,436","4,989",196,806,0.41,0.15,0.38,0.01,0.02,"32,527",191,"7,772","11,385",890,"4,672","2,888","6,959",0.01,0.03,0.24
